username,game_url,game_index,event_index,opportunity_cp,target_pawns,t_turns_engine,converted_actual,t_turns_actual,opponent_move_ply_index,opponent_move_san,opponent_move_uci,best_reply_san,best_reply_uci,fen_before,fen_after,pv_moves,pv_evals,eval_before,white_player,black_player,player_color,time_control,game_result,end_time
k2f4x,Chess.com,6,5,229,2,11,0,,50,Qb2,d2b2,Bh6,g7h6,2rr2k1/2q2pbp/1p4p1/p7/P2P4/1pN1PB2/3Q2PP/2R3K1 w - - 5 26,2rr2k1/2q2pbp/1p4p1/p7/P2P4/1pN1PB2/1Q4PP/2R3K1 b - - 6 26,g7h6|g1f2|d8e8|f3e4|e8e4|c3e4|h6e3|f2e2|e3c1|b2b3|c8e8,-673|-678|-755|-661|-757|-773|-813|-865|-847|-872|-872,-586,ridvaneren,k2f4x,black,180,0-1,2026.01.10 19:08:01
k2f4x,Chess.com,6,6,234,2,7,0,,54,Nd5,c3d5,Rxc1+,c8c1,2rr2k1/5pbp/1p4p1/p7/Pq1P4/1pN1P3/1Q2B1PP/2R3K1 w - - 9 28,2rr2k1/5pbp/1p4p1/p2N4/Pq1P4/1p2P3/1Q2B1PP/2R3K1 b - - 10 28,c8c1|b2c1|b3b2|c1b1|d8d5|h2h4|g7d4,-798|-779|-806|-824|-780|-834|-883,-827,ridvaneren,k2f4x,black,180,0-1,2026.01.10 19:08:01
k2f4x,Chess.com,7,0,167,1,3,1,3,29,exf4,e5f4,Nxf4,e2f4,2kr3r/pb1n1p1p/1pp2p2/4p3/3P1P2/2P3P1/PP2N1BP/2KR3R b - - 0 15,2kr3r/pb1n1p1p/1pp2p2/8/3P1p2/2P3P1/PP2N1BP/2KR3R w - - 0 16,e2f4|d8g8|d1e1,189|197|200,202,k2f4x,Dhawal2410,white,180,1-0,2026.01.11 02:38:56
k2f4x,Chess.com,7,1,211,2,17,0,,105,Ka8,b8a8,Kc7,b6c7,1k6/8/1K6/8/2P5/8/8/8 b - - 4 53,k7/8/1K6/8/2P5/8/8/8 w - - 5 54,b6c7|a8a7|c4c5|a7a6|c7d6|a6a5|c5c6|a5b5|c6c7|b5c4|d6e5|c4c3|e5e4|c3c4|c7c8q|c4b5|e4d3,557|529|519|526|526|529|10000|781|527|515|10000|10000|10000|10000|10000|10000|10000,528,k2f4x,Dhawal2410,white,180,1-0,2026.01.11 02:38:56
k2f4x,Chess.com,7,2,314,3,19,0,,107,Ka7,a8a7,c5,c4c5,k7/2K5/8/8/2P5/8/8/8 b - - 6 54,8/k1K5/8/8/2P5/8/8/8 w - - 7 55,c4c5|a7a6|c5c6|a6b5|c7d6|b5b4|d6d5|b4c3|d5c5|c3d3|c5d5|d3e3|d5c5|e3e4|c6c7|e4e5|c7c8q|e5f4|c5d4,585|729|526|717|518|10000|536|541|10000|526|511|10000|530|533|515|10000|10000|10000|10000,530,k2f4x,Dhawal2410,white,180,1-0,2026.01.11 02:38:56
k2f4x,Chess.com,8,0,191,1,25,0,,13,f6,f7f6,Qxd8+,d1d8,rnbqk2r/ppp1npbp/4p1p1/4P3/2P2P2/2N5/PP4PP/R1BQKBNR b KQkq - 0 7,rnbqk2r/ppp1n1bp/4ppp1/4P3/2P2P2/2N5/PP4PP/R1BQKBNR w KQkq - 0 8,d1d8|e8d8|e5f6|g7f6|c1d2|b7b6|e1c1|b8d7|c3e4|e7f5|e4f6|d7f6|d2b4|f5d6|g1h3|c8b7|h3g5|f6e4|g5e4|b7e4|b4d6|c7d6|d1d6|d8e7|d6d4,102|92|93|107|118|109|99|115|135|121|108|131|118|118|123|112|122|124|109|122|117|104|106|141|122,124,k2f4x,justjoshehh,white,180,0-1,2026.01.11 18:58:59
k2f4x,Chess.com,9,0,164,1,3,1,3,4,Be2,f1e2,Bxe4,b7e4,rn1qkbnr/pbpppppp/1p6/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3,rn1qkbnr/pbpppppp/1p6/8/3PP3/8/PPP1BPPP/RNBQK1NR b KQkq - 2 3,b7e4|g1f3|e7e6,-57|-57|-63,-64,Isatis300,k2f4x,black,180,1-0,2026.01.11 20:02:21
k2f4x,Chess.com,9,1,108,1,3,1,3,8,Bxc6,f3c6,Nxc6,b8c6,rn1qkbnr/p1pppppp/1pb5/8/3P4/5B2/PPP2PPP/RNBQK1NR w KQkq - 2 5,rn1qkbnr/p1pppppp/1pB5/8/3P4/8/PPP2PPP/RNBQK1NR b KQkq - 0 5,b8c6|d4d5|c6a5,-85|-92|-100,-94,Isatis300,k2f4x,black,180,1-0,2026.01.11 20:02:21
k2f4x,Chess.com,9,2,110,1,11,1,7,18,O-O,e1g1,g5,g6g5,r2qk1nr/p1ppp1b1/1pn3pp/5p2/3P3B/2P2N2/PP3PPP/RN1QK2R w KQkq - 0 10,r2qk1nr/p1ppp1b1/1pn3pp/5p2/3P3B/2P2N2/PP3PPP/RN1Q1RK1 b kq - 1 10,g6g5|f1e1|g8f6|d4d5|c6a5|f3d4|e8g8|d4f5|g5h4|b2b4|a5c4,-198|-204|-227|-241|-187|-227|-219|-235|-222|-235|-250,-222,Isatis300,k2f4x,black,180,1-0,2026.01.11 20:02:21
k2f4x,Chess.com,9,3,134,1,9,1,5,20,Ne5,f3e5,Nxe5,c6e5,r2qk1nr/p1ppp1b1/1pn4p/5pp1/3P3B/2P2N2/PP3PPP/RN1Q1RK1 w kq - 0 11,r2qk1nr/p1ppp1b1/1pn4p/4Npp1/3P3B/2P5/PP3PPP/RN1Q1RK1 b kq - 1 11,c6e5|d4e5|e7e6|h4g3|f5f4|h2h3|g7e5|b1d2|e5g7,-309|-297|-307|-288|-300|-294|-289|-296|-302,-298,Isatis300,k2f4x,black,180,1-0,2026.01.11 20:02:21
